Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,JD_prcp  ,JD_snow  ,Month  ,State_id  ,Year  ,CPRC (in),CPRS (in),CSNW (in),PRCP (in),PRCP_flag  ,SNOW (in),SNOW_flag  ,SNWD (in),SNWD_flag  ,Season_prcp  ,Season_snow  ,TAVE (F),TMAX (F),TMAX_flag  ,TMIN (F),TMIN_flag   
20,232,324,20,8,'305801',2006,36.32,62.12,0,0.06,'  0',0,'  0',0,'  0','2005-06','2006-07',80,88,'  0',71,'  0' 
21,233,325,21,8,'305801',2006,36.32,62.12,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',78,86,'  0',69,'  0' 
22,234,326,22,8,'305801',2006,36.32,62.12,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',78,86,'  0',69,'  0' 
23,235,327,23,8,'305801',2006,36.32,62.12,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',78,88,'  0',68,'  0' 
24,236,328,24,8,'305801',2006,37.14,62.94,0,0.82,'  0',0,'  0',0,'  0','2005-06','2006-07',75,83,'  0',66,'  0' 
25,237,329,25,8,'305801',2006,37.25,63.05,0,0.11,'  0',0,'  0',0,'  0','2005-06','2006-07',70,74,'  0',66,'  0' 
26,238,330,26,8,'305801',2006,38.03,63.83,0,0.78,'  0',0,'  0',0,'  0','2005-06','2006-07',66,69,'  0',63,'  0' 
27,239,331,27,8,'305801',2006,38.7,64.5,0,0.67,'  0',0,'  0',0,'  0','2005-06','2006-07',68,74,'  0',62,'  0' 
28,240,332,28,8,'305801',2006,39.05,64.85,0,0.35,'  0',0,'  0',0,'  0','2005-06','2006-07',74,77,'  0',70,'  0' 
29,241,333,29,8,'305801',2006,39.49,65.29,0,0.44,'  0',0,'  0',0,'  0','2005-06','2006-07',68,71,'  0',64,'  0' 
30,242,334,30,8,'305801',2006,39.64,65.44,0,0.15,'  0',0,'  0',0,'  0','2005-06','2006-07',68,73,'  0',62,'  0' 
31,243,335,31,8,'305801',2006,39.64,65.44,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',67,72,'  0',61,'  0' 
1,244,336,32,9,'305801',2006,39.75,65.55,0,0.11,'  0',0,'  0',0,'  0','2005-06','2006-07',64,67,'  0',60,'  0' 
2,245,337,33,9,'305801',2006,40.99,66.79,0,1.24,'  0',0,'  0',0,'  0','2005-06','2006-07',63,66,'  0',59,'  0' 
3,246,338,34,9,'305801',2006,40.99,66.79,0,0,'T 0',0,'  0',0,'  0','2005-06','2006-07',69,75,'  0',63,'  0' 
4,247,339,35,9,'305801',2006,40.99,66.79,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',68,75,'  0',60,'  0' 
5,248,340,36,9,'305801',2006,41.45,67.25,0,0.46,'  0',0,'  0',0,'  0','2005-06','2006-07',65,69,'  0',61,'  0' 
6,249,341,37,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',68,75,'  0',60,'  0' 
7,250,342,38,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',71,80,'  0',61,'  0' 
8,251,343,39,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',74,81,'  0',66,'  0' 
9,252,344,40,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',75,82,'  0',67,'  0' 
10,253,345,41,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',68,73,'  0',62,'  0' 
11,254,346,42,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',63,70,'  0',56,'  0' 
12,255,347,43,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',61,70,'  0',52,'  0' 
13,256,348,44,9,'305801',2006,41.45,67.25,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',62,67,'  0',56,'  0' 
14,257,349,45,9,'305801',2006,42.13,67.93,0,0.68,'  0',0,'  0',0,'  0','2005-06','2006-07',66,67,'  0',64,'  0' 
15,258,350,46,9,'305801',2006,43.12,68.92,0,0.99,'  0',0,'  0',0,'  0','2005-06','2006-07',66,67,'  0',64,'  0' 
16,259,351,47,9,'305801',2006,43.13,68.93,0,0.01,'  0',0,'  0',0,'  0','2005-06','2006-07',71,78,'  0',64,'  0' 
17,260,352,48,9,'305801',2006,43.13,68.93,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',72,80,'  0',63,'  0' 
18,261,353,49,9,'305801',2006,43.13,68.93,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',74,83,'  0',65,'  0' 
19,262,354,50,9,'305801',2006,43.14,68.94,0,0.01,'  0',0,'  0',0,'  0','2005-06','2006-07',74,80,'  0',67,'  0' 
20,263,355,51,9,'305801',2006,43.14,68.94,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',65,71,'  0',58,'  0' 
21,264,356,52,9,'305801',2006,43.14,68.94,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',60,68,'  0',52,'  0' 
22,265,357,53,9,'305801',2006,43.14,68.94,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',61,69,'  0',53,'  0' 
23,266,358,54,9,'305801',2006,43.24,69.04,0,0.1,'  0',0,'  0',0,'  0','2005-06','2006-07',69,75,'  0',63,'  0' 
24,267,359,55,9,'305801',2006,43.25,69.05,0,0.01,'  0',0,'  0',0,'  0','2005-06','2006-07',73,79,'  0',67,'  0' 
25,268,360,56,9,'305801',2006,43.25,69.05,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',67,72,'  0',62,'  0' 
26,269,361,57,9,'305801',2006,43.25,69.05,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',65,73,'  0',57,'  0' 
27,270,362,58,9,'305801',2006,43.25,69.05,0,0,'  0',0,'  0',0,'  0','2005-06','2006-07',65,73,'  0',56,'  0' 
28,271,363,59,9,'305801',2006,43.26,69.06,0,0.01,'  0',0,'  0',0,'  0','2005-06','2006-07',69,75,'  0',62,'  0' 
29,272,364,60,9,'305801',2006,43.33,69.13,0,0.07,'  0',0,'  0',0,'  0','2005-06','2006-07',60,66,'  0',53,'  0' 
30,273,365,61,9,'305801',2006,43.33,69.13,0,0,'T 0',0,'  0',0,'  0','2005-06','2006-07',58,66,'  0',49,'  0' 
1,274,1,62,10,'305801',2006,43.68,0.35,0,0.35,'  0',0,'  0',0,'  0','2006-07','2006-07',62,68,'  0',56,'  0' 
2,275,2,63,10,'305801',2006,43.68,0.35,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',61,68,'  0',53,'  0' 
3,276,3,64,10,'305801',2006,43.68,0.35,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',68,79,'  0',56,'  0' 
4,277,4,65,10,'305801',2006,44.3,0.97,0,0.62,'  0',0,'  0',0,'  0','2006-07','2006-07',71,78,'  0',64,'  0' 
5,278,5,66,10,'305801',2006,44.35,1.02,0,0.05,'  0',0,'  0',0,'  0','2006-07','2006-07',59,66,'  0',52,'  0' 
6,279,6,67,10,'305801',2006,44.35,1.02,0,0,'T 0',0,'  0',0,'  0','2006-07','2006-07',55,57,'  0',52,'  0' 
7,280,7,68,10,'305801',2006,44.35,1.02,0,0,'T 0',0,'  0',0,'  0','2006-07','2006-07',57,63,'  0',51,'  0' 
8,281,8,69,10,'305801',2006,44.35,1.02,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',61,71,'  0',51,'  0' 
9,282,9,70,10,'305801',2006,44.35,1.02,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',67,78,'  0',55,'  0' 
10,283,10,71,10,'305801',2006,44.35,1.02,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',67,76,'  0',57,'  0' 
11,284,11,72,10,'305801',2006,45.96,2.63,0,1.61,'  0',0,'  0',0,'  0','2006-07','2006-07',61,63,'  0',59,'  0' 
12,285,12,73,10,'305801',2006,46.27,2.94,0,0.31,'  0',0,'  0',0,'  0','2006-07','2006-07',59,68,'  0',50,'  0' 
13,286,13,74,10,'305801',2006,46.27,2.94,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',48,55,'  0',41,'  0' 
14,287,14,75,10,'305801',2006,46.27,2.94,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',51,59,'  0',43,'  0' 
15,288,15,76,10,'305801',2006,46.27,2.94,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',50,58,'  0',42,'  0' 
16,289,16,77,10,'305801',2006,46.27,2.94,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',52,61,'  0',43,'  0' 
17,290,17,78,10,'305801',2006,47.36,4.03,0,1.09,'  0',0,'  0',0,'  0','2006-07','2006-07',58,61,'  0',54,'  0' 
18,291,18,79,10,'305801',2006,47.36,4.03,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',67,72,'  0',61,'  0' 
19,292,19,80,10,'305801',2006,47.41,4.08,0,0.05,'  0',0,'  0',0,'  0','2006-07','2006-07',63,68,'  0',57,'  0' 
20,293,20,81,10,'305801',2006,47.86,4.53,0,0.45,'  0',0,'  0',0,'  0','2006-07','2006-07',57,66,'  0',47,'  0' 
21,294,21,82,10,'305801',2006,47.86,4.53,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',51,57,'  0',44,'  0' 
22,295,22,83,10,'305801',2006,47.86,4.53,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',53,59,'  0',46,'  0' 
23,296,23,84,10,'305801',2006,47.86,4.53,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',50,55,'  0',44,'  0' 
24,297,24,85,10,'305801',2006,47.86,4.53,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',47,52,'  0',41,'  0' 
25,298,25,86,10,'305801',2006,47.86,4.53,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',49,55,'  0',42,'  0' 
26,299,26,87,10,'305801',2006,47.86,4.53,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',45,50,'  0',40,'  0' 
27,300,27,88,10,'305801',2006,48.18,4.85,0,0.32,'  0',0,'  0',0,'  0','2006-07','2006-07',44,51,'  0',37,'  0' 
28,301,28,89,10,'305801',2006,50.4,7.07,0,2.22,'  0',0,'  0',0,'  0','2006-07','2006-07',57,67,'  0',46,'  0' 
29,302,29,90,10,'305801',2006,50.4,7.07,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',49,53,'  0',45,'  0' 
30,303,30,91,10,'305801',2006,50.4,7.07,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',52,60,'  0',44,'  0' 
31,304,31,92,10,'305801',2006,50.4,7.07,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',60,68,'  0',52,'  0' 
1,305,32,93,11,'305801',2006,50.41,7.08,0,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',63,69,'  0',57,'  0' 
2,306,33,94,11,'305801',2006,50.67,7.34,0,0.26,'  0',0,'  0',0,'  0','2006-07','2006-07',52,60,'  0',43,'  0' 
3,307,34,95,11,'305801',2006,50.67,7.34,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',42,47,'  0',36,'  0' 
4,308,35,96,11,'305801',2006,50.67,7.34,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',41,47,'  0',35,'  0' 
5,309,36,97,11,'305801',2006,50.67,7.34,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',44,50,'  0',37,'  0' 
6,310,37,98,11,'305801',2006,50.67,7.34,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',49,56,'  0',41,'  0' 
7,311,38,99,11,'305801',2006,50.69,7.36,0,0.02,'  0',0,'  0',0,'  0','2006-07','2006-07',53,59,'  0',47,'  0' 
8,312,39,100,11,'305801',2006,54.29,10.96,0,3.6,'  0',0,'  0',0,'  0','2006-07','2006-07',58,59,'  0',56,'  0' 
9,313,40,101,11,'305801',2006,54.29,10.96,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',62,68,'  0',56,'  0' 
10,314,41,102,11,'305801',2006,54.29,10.96,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',56,60,'  0',51,'  0' 
11,315,42,103,11,'305801',2006,54.29,10.96,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',58,66,'  0',49,'  0' 
12,316,43,104,11,'305801',2006,54.58,11.25,0,0.29,'  0',0,'  0',0,'  0','2006-07','2006-07',55,61,'  0',48,'  0' 
13,317,44,105,11,'305801',2006,55.01,11.68,0,0.43,'  0',0,'  0',0,'  0','2006-07','2006-07',57,61,'  0',52,'  0' 
14,318,45,106,11,'305801',2006,55.09,11.76,0,0.08,'  0',0,'  0',0,'  0','2006-07','2006-07',58,61,'  0',54,'  0' 
15,319,46,107,11,'305801',2006,55.09,11.76,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',60,63,'  0',56,'  0' 
16,320,47,108,11,'305801',2006,55.82,12.49,0,0.73,'  0',0,'  0',0,'  0','2006-07','2006-07',64,69,'  0',59,'  0' 
17,321,48,109,11,'305801',2006,55.82,12.49,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',56,64,'  0',48,'  0' 
18,322,49,110,11,'305801',2006,55.82,12.49,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',48,53,'  0',43,'  0' 
19,323,50,111,11,'305801',2006,55.82,12.49,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',45,48,'  0',42,'  0' 
20,324,51,112,11,'305801',2006,55.82,12.49,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',42,45,'  0',38,'  0' 
21,325,52,113,11,'305801',2006,55.82,12.49,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',41,46,'  0',35,'  0' 
22,326,53,114,11,'305801',2006,55.83,12.5,0,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',42,46,'  0',38,'  0' 
23,327,54,115,11,'305801',2006,57.55,14.22,0,1.72,'  0',0,'  0',0,'  0','2006-07','2006-07',42,44,'  0',40,'  0' 
24,328,55,116,11,'305801',2006,57.74,14.41,0,0.19,'  0',0,'  0',0,'  0','2006-07','2006-07',50,58,'  0',41,'  0' 
25,329,56,117,11,'305801',2006,57.74,14.41,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',47,53,'  0',40,'  0' 
26,330,57,118,11,'305801',2006,57.74,14.41,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',52,59,'  0',45,'  0' 
27,331,58,119,11,'305801',2006,57.74,14.41,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',56,64,'  0',47,'  0' 
28,332,59,120,11,'305801',2006,57.74,14.41,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',55,58,'  0',51,'  0' 
29,333,60,121,11,'305801',2006,57.74,14.41,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',55,59,'  0',50,'  0' 
30,334,61,122,11,'305801',2006,57.74,14.41,0,0,'T 0',0,'  0',0,'  0','2006-07','2006-07',64,69,'  0',58,'  0' 
1,335,62,123,12,'305801',2006,57.97,14.64,0,0.23,'  0',0,'  0',0,'  0','2006-07','2006-07',60,70,'  0',49,'  0' 
2,336,63,124,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',44,49,'  0',39,'  0' 
3,337,64,125,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',41,46,'  0',35,'  0' 
4,338,65,126,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',36,41,'  0',31,'  0' 
5,339,66,127,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',33,37,'  0',29,'  0' 
6,340,67,128,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',40,49,'  0',31,'  0' 
7,341,68,129,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',40,53,'  0',26,'  0' 
8,342,69,130,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',24,29,'  0',18,'  0' 
9,343,70,131,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',31,38,'  0',24,'  0' 
10,344,71,132,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',45,54,'  0',35,'  0' 
11,345,72,133,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',51,57,'  0',45,'  0' 
12,346,73,134,12,'305801',2006,57.97,14.64,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',47,49,'  0',44,'  0' 
13,347,74,135,12,'305801',2006,58.18,14.85,0,0.21,'  0',0,'  0',0,'  0','2006-07','2006-07',52,55,'  0',49,'  0' 
14,348,75,136,12,'305801',2006,58.18,14.85,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',52,57,'  0',46,'  0' 
15,349,76,137,12,'305801',2006,58.19,14.86,0,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',48,52,'  0',44,'  0' 
16,350,77,138,12,'305801',2006,58.19,14.86,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',46,51,'  0',41,'  0' 
17,351,78,139,12,'305801',2006,58.19,14.86,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',49,56,'  0',42,'  0' 
18,352,79,140,12,'305801',2006,58.19,14.86,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',52,59,'  0',44,'  0' 
19,353,80,141,12,'305801',2006,58.19,14.86,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',41,45,'  0',36,'  0' 
20,354,81,142,12,'305801',2006,58.19,14.86,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',40,45,'  0',34,'  0' 
21,355,82,143,12,'305801',2006,58.19,14.86,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',46,54,'  0',38,'  0' 
22,356,83,144,12,'305801',2006,58.66,15.33,0,0.47,'  0',0,'  0',0,'  0','2006-07','2006-07',44,49,'  0',39,'  0' 
23,357,84,145,12,'305801',2006,59.44,16.11,0,0.78,'  0',0,'  0',0,'  0','2006-07','2006-07',54,59,'  0',48,'  0' 
24,358,85,146,12,'305801',2006,59.44,16.11,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',48,52,'  0',43,'  0' 
25,359,86,147,12,'305801',2006,59.81,16.48,0,0.37,'  0',0,'  0',0,'  0','2006-07','2006-07',42,45,'  0',39,'  0' 
26,360,87,148,12,'305801',2006,59.89,16.56,0,0.08,'  0',0,'  0',0,'  0','2006-07','2006-07',48,53,'  0',43,'  0' 
27,361,88,149,12,'305801',2006,59.89,16.56,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',41,43,'  0',38,'  0' 
28,362,89,150,12,'305801',2006,59.89,16.56,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',42,48,'  0',36,'  0' 
29,363,90,151,12,'305801',2006,59.89,16.56,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',43,48,'  0',37,'  0' 
30,364,91,152,12,'305801',2006,59.89,16.56,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',41,47,'  0',34,'  0' 
31,365,92,153,12,'305801',2006,59.89,16.56,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',39,45,'  0',33,'  0' 
1,1,93,154,1,'305801',2007,1.52,18.08,0,1.52,'  0',0,'  0',0,'  0','2006-07','2006-07',51,56,'  0',45,'  0' 
2,2,94,155,1,'305801',2007,1.52,18.08,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',46,50,'  0',41,'  0' 
3,3,95,156,1,'305801',2007,1.52,18.08,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',45,52,'  0',38,'  0' 
4,4,96,157,1,'305801',2007,1.52,18.08,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',50,56,'  0',43,'  0' 
5,5,97,158,1,'305801',2007,1.55,18.11,0,0.03,'  0',0,'  0',0,'  0','2006-07','2006-07',58,62,'  0',53,'  0' 
6,6,98,159,1,'305801',2007,1.56,18.12,0,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',63,72,'  0',54,'  0' 
7,7,99,160,1,'305801',2007,1.73,18.29,0,0.17,'  0',0,'  0',0,'  0','2006-07','2006-07',49,54,'  0',44,'  0' 
8,8,100,161,1,'305801',2007,2.98,19.54,0,1.25,'  0',0,'  0',0,'  0','2006-07','2006-07',47,56,'  0',38,'  0' 
9,9,101,162,1,'305801',2007,2.98,19.54,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',39,44,'  0',34,'  0' 
10,10,102,163,1,'305801',2007,2.98,19.54,0,0,'T 0',0,'T 0',0,'  0','2006-07','2006-07',33,36,'  0',29,'  0' 
11,11,103,164,1,'305801',2007,2.98,19.54,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',32,38,'  0',26,'  0' 
12,12,104,165,1,'305801',2007,2.99,19.55,0,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',43,48,'  0',37,'  0' 
13,13,105,166,1,'305801',2007,3.05,19.61,0,0.06,'  0',0,'  0',0,'  0','2006-07','2006-07',51,56,'  0',45,'  0' 
14,14,106,167,1,'305801',2007,3.14,19.7,0,0.09,'  0',0,'  0',0,'  0','2006-07','2006-07',44,46,'  0',41,'  0' 
15,15,107,168,1,'305801',2007,3.2,19.76,0,0.06,'  0',0,'  0',0,'  0','2006-07','2006-07',49,57,'  0',40,'  0' 
16,16,108,169,1,'305801',2007,3.2,19.76,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',39,55,'  0',22,'  0' 
17,17,109,170,1,'305801',2007,3.2,19.76,0,0,'  0',0,'  0',0,'  0','2006-07','2006-07',24,29,'  0',19,'  0' 
18,18,110,171,1,'305801',2007,3.29,19.85,0,0.09,'  0',0,'T 0',0,'  0','2006-07','2006-07',31,37,'  0',25,'  0' 
19,19,111,172,1,'305801',2007,3.38,19.94,0.3,0.09,'  0',0.3,'  0',0,'T 0','2006-07','2006-07',36,41,'  0',31,'  0' 
20,20,112,173,1,'305801',2007,3.39,19.95,0.4,0.01,'  0',0.1,'  0',0,'  0','2006-07','2006-07',27,32,'  0',21,'  0' 
21,21,113,174,1,'305801',2007,3.39,19.95,0.4,0,'  0',0,'  0',0,'  0','2006-07','2006-07',24,29,'  0',19,'  0' 
22,22,114,175,1,'305801',2007,3.39,19.95,0.4,0,'  0',0,'  0',0,'  0','2006-07','2006-07',30,33,'  0',27,'  0' 
23,23,115,176,1,'305801',2007,3.39,19.95,0.4,0,'  0',0,'  0',0,'  0','2006-07','2006-07',32,36,'  0',28,'  0' 
24,24,116,177,1,'305801',2007,3.39,19.95,0.4,0,'  0',0,'  0',0,'  0','2006-07','2006-07',36,40,'  0',32,'  0' 
25,25,117,178,1,'305801',2007,3.4,19.96,0.5,0.01,'  0',0.1,'  0',0,'  0','2006-07','2006-07',25,34,'  0',15,'  0' 
26,26,118,179,1,'305801',2007,3.4,19.96,0.5,0,'  0',0,'  0',0,'  0','2006-07','2006-07',16,22,'  0',9,'  0' 
27,27,119,180,1,'305801',2007,3.41,19.97,0.5,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',31,41,'  0',20,'  0' 
28,28,120,181,1,'305801',2007,3.46,20.02,0.9,0.05,'  0',0.4,'  0',0,'T 0','2006-07','2006-07',36,41,'  0',30,'  0' 
29,29,121,182,1,'305801',2007,3.47,20.03,1,0.01,'  0',0.1,'  0',1,'  0','2006-07','2006-07',26,30,'  0',21,'  0' 
30,30,122,183,1,'305801',2007,3.57,20.13,2,0.1,'  0',1,'  0',0,'  0','2006-07','2006-07',28,35,'  0',21,'  0' 
31,31,123,184,1,'305801',2007,3.63,20.19,2.6,0.06,'  0',0.6,'  0',1,'  0','2006-07','2006-07',29,33,'  0',25,'  0' 
1,32,124,185,2,'305801',2007,3.63,20.19,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',30,34,'  0',26,'  0' 
2,33,125,186,2,'305801',2007,3.86,20.42,2.6,0.23,'  0',0,'T 0',0,'  0','2006-07','2006-07',35,38,'  0',32,'  0' 
3,34,126,187,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',29,35,'  0',23,'  0' 
4,35,127,188,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',23,28,'  0',17,'  0' 
5,36,128,189,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',13,18,'  0',8,'  0' 
6,37,129,190,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',18,25,'  0',11,'  0' 
7,38,130,191,2,'305801',2007,3.86,20.42,2.6,0,'T 0',0,'T 0',0,'  0','2006-07','2006-07',19,25,'  0',12,'  0' 
8,39,131,192,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',21,28,'  0',14,'  0' 
9,40,132,193,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',25,32,'  0',18,'  0' 
10,41,133,194,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',28,33,'  0',23,'  0' 
11,42,134,195,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',26,33,'  0',19,'  0' 
12,43,135,196,2,'305801',2007,3.86,20.42,2.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',34,40,'  0',28,'  0' 
13,44,136,197,2,'305801',2007,3.89,20.45,2.6,0.03,'  0',0,'T 0',0,'  0','2006-07','2006-07',27,32,'  0',22,'  0' 
14,45,137,198,2,'305801',2007,4.83,21.39,4.6,0.94,'  0',2,'  0',0,'T 0','2006-07','2006-07',23,29,'  0',16,'  0' 
15,46,138,199,2,'305801',2007,4.83,21.39,4.6,0,'  0',0,'  0',2,'  0','2006-07','2006-07',20,24,'  0',15,'  0' 
16,47,139,200,2,'305801',2007,4.83,21.39,4.6,0,'  0',0,'  0',2,'  0','2006-07','2006-07',22,29,'  0',14,'  0' 
17,48,140,201,2,'305801',2007,4.83,21.39,4.6,0,'  0',0,'  0',2,'  0','2006-07','2006-07',27,35,'  0',19,'  0' 
18,49,141,202,2,'305801',2007,4.83,21.39,4.6,0,'  0',0,'  0',1,'  0','2006-07','2006-07',26,34,'  0',18,'  0' 
19,50,142,203,2,'305801',2007,4.83,21.39,4.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',21,30,'  0',12,'  0' 
20,51,143,204,2,'305801',2007,4.93,21.49,4.6,0.1,'  0',0,'  0',0,'  0','2006-07','2006-07',38,47,'  0',29,'  0' 
21,52,144,205,2,'305801',2007,4.94,21.5,4.6,0.01,'  0',0,'  0',0,'  0','2006-07','2006-07',44,49,'  0',39,'  0' 
22,53,145,206,2,'305801',2007,5.15,21.71,4.6,0.21,'  0',0,'  0',0,'  0','2006-07','2006-07',41,45,'  0',36,'  0' 
23,54,146,207,2,'305801',2007,5.15,21.71,4.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',31,39,'  0',22,'  0' 
24,55,147,208,2,'305801',2007,5.15,21.71,4.6,0,'  0',0,'  0',0,'  0','2006-07','2006-07',31,42,'  0',20,'  0' 
25,56,148,209,2,'305801',2007,5.34,21.9,5.8,0.19,'  0',1.2,'  0',0,'  0','2006-07','2006-07',31,37,'  0',24,'  0' 
